JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2439818.6,12.2,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2439826.6,11.8,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2439838.5,11,,,Vis.,LS,,,,,,,,V,,,,LX CYG,,STD,,,,
2439844.6,10.9,,,Vis.,LS,,,,,,,,V,,,,LX CYG,,STD,,,,
2439845.6,10.6,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2439851.7,10.6,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2439854.5,10.4,,,Vis.,TJ,,,,,,,,V,,,,LX CYG,,STD,,,,
2439874.5,10.9,,,Vis.,LS,,,,,,,,V,,,,LX CYG,,STD,,,,
2439877.5,10.3,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2439903.5,11.1,,,Vis.,LS,,,,,,,,V,,,,LX CYG,,STD,,,,
2439965.8,13.3,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440031.8,13,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440036.8,13.1,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440038.8,12.8,,,Vis.,AC,,,,,,,,V,,,,LX CYG,,STD,,,,
2440056.8,13.1,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440058.6,12.7,,,Vis.,LS,,,,,,,,V,,,,LX CYG,,STD,,,,
2440066.7,<13.7,,,Vis.,SCE,,,,,,,,V,,,,LX CYG,,STD,,,,
2440077.6,13.1,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440089.7,<14.5,,,Vis.,TJ,,,,,,,,V,,,,LX CYG,,STD,,,,
2440126.8,12.9,,,Vis.,HR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440126.9,12.9,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440127.6,<14.0,,,Vis.,AD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440130.6,13.4,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440134.7,<13.7,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440145.7,12.9,,,Vis.,LS,,,,,,,,V,,,,LX CYG,,STD,,,,
2440153.7,13.5,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440154.8,13.5,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440181.6,13.4,,,Vis.,SCE,,,,,,,,V,,,,LX CYG,,STD,,,,
2440209.6,12.7,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440220.6,12.5,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440334.9,10.6,,,Vis.,AC,,,,,,,,V,,,,LX CYG,,STD,,,,
2440338.9,10.6,,,Vis.,HR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440347.8,10.3,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440382.8,10.5,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440386.9,11.4,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440415.6,10.9,,,Vis.,LS,,,,,,,,V,,,,LX CYG,,STD,,,,
2440417.9,12.5,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440446.6,12.6,,,Vis.,LS,,,,,,,,V,,,,LX CYG,,STD,,,,
2440454.8,12.6,,,Vis.,AD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440473.6,12.5,,,Vis.,LS,,,,,,,,V,,,,LX CYG,,STD,,,,
2440475.8,13.6,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440480.6,13.1,,,Vis.,LX,,,,,,,,V,,,,LX CYG,,STD,,,,
2440483.7,<14.2,,,Vis.,AD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440483.8,13,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440498.8,13.8,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440504.6,12.8,,,Vis.,LS,,,,,,,,V,,,,LX CYG,,STD,,,,
2440506.8,12.8,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440507.6,13,,,Vis.,LX,,,,,,,,V,,,,LX CYG,,STD,,,,
2440514.6,<14.0,,,Vis.,AD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440525.6,13,,,Vis.,LX,,,,,,,,V,,,,LX CYG,,STD,,,,
2440535.6,<14.2,,,Vis.,AD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440542.6,13.1,,,Vis.,LX,,,,,,,,V,,,,LX CYG,,STD,,,,
2440556.7,12.9,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440561.6,<13.3,,,Vis.,LX,,,,,,,,V,,,,LX CYG,,STD,,,,
2440584.5,<13.8,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440592.7,14.1,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440601.5,12.5,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440712.8,12,,,Vis.,AD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440736.8,11.7,,,Vis.,HZL,,,,,,,,V,,,,LX CYG,,STD,,,,
2440750.8,11.8,,,Vis.,FD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440763.8,11.2,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
2440774.7,10,,,Vis.,LS,,,,,,,,V,,,,LX CYG,,STD,,,,
2440789.7,9.5,,,Vis.,AD,,,,,,,,V,,,,LX CYG,,STD,,,,
2440797.8,10.1,,,Vis.,CR,,,,,,,,V,,,,LX CYG,,STD,,,,
